Vivado Simulator 2020.1
Time resolution is 1 ps
Time =            387500000, Counter = 487, amp = 103, Data_out =  33815
Time =            388500000, Counter = 692, amp = 53, Data_out =  32346
Time =            389500000, Counter = 897, amp = 68, Data_out =  31791
Time =            390500000, Counter = 78, amp = 124, Data_out =  32898
Time =            391500000, Counter = 283, amp = 149, Data_out =  34145
Time =            392500000, Counter = 488, amp = 103, Data_out =  33818
Time =            393500000, Counter = 693, amp = 53, Data_out =  32346
Time =            394500000, Counter = 898, amp = 68, Data_out =  31791
Time =            395500000, Counter = 79, amp = 124, Data_out =  32898
Time =            396500000, Counter = 284, amp = 149, Data_out =  34151
Time =            397500000, Counter = 489, amp = 103, Data_out =  33818
Time =            398500000, Counter = 694, amp = 53, Data_out =  32346
Time =            399500000, Counter = 899, amp = 68, Data_out =  31791
Time =            400500000, Counter = 80, amp = 124, Data_out =  32898
Time =            401500000, Counter = 285, amp = 149, Data_out =  34151
Time =            402500000, Counter = 490, amp = 100, Data_out =  33812
Time =            403500000, Counter = 695, amp = 52, Data_out =  32344
Time =            404500000, Counter = 900, amp = 70, Data_out =  31795
Time =            405500000, Counter = 81, amp = 124, Data_out =  32898
Time =            406500000, Counter = 286, amp = 149, Data_out =  34148
Time =            407500000, Counter = 491, amp = 100, Data_out =  33799
Time =            408500000, Counter = 696, amp = 52, Data_out =  32324
Time =            409500000, Counter = 901, amp = 70, Data_out =  31788
Time =            410500000, Counter = 82, amp = 124, Data_out =  32907
Time =            411500000, Counter = 287, amp = 149, Data_out =  34154
Time =            412500000, Counter = 492, amp = 100, Data_out =  33799
Time =            413500000, Counter = 697, amp = 52, Data_out =  32324
Time =            414500000, Counter = 902, amp = 70, Data_out =  31764
Time =            415500000, Counter = 83, amp = 127, Data_out =  32818
Time =            416500000, Counter = 288, amp = 148, Data_out =  33989
Time =            417500000, Counter = 493, amp = 100, Data_out =  33618
Time =            418500000, Counter = 698, amp = 52, Data_out =  32172
Time =            419500000, Counter = 903, amp = 70, Data_out =  31680
Time =            420500000, Counter = 84, amp = 127, Data_out =  32818
Time =            421500000, Counter = 289, amp = 148, Data_out =  34050
Time =            422500000, Counter = 494, amp = 100, Data_out =  33671
Time =            423500000, Counter = 699, amp = 52, Data_out =  32185
Time =            424500000, Counter = 904, amp = 70, Data_out =  31680
Time =            425500000, Counter = 85, amp = 127, Data_out =  32818
Time =            426500000, Counter = 290, amp = 148, Data_out =  34041
Time =            427500000, Counter = 495, amp = 100, Data_out =  33674
Time =            428500000, Counter = 700, amp = 52, Data_out =  32252
Time =            429500000, Counter = 905, amp = 70, Data_out =  31806
Time =            430500000, Counter = 86, amp = 127, Data_out =  32964
Time =            431500000, Counter = 291, amp = 148, Data_out =  34169
Time =            432500000, Counter = 496, amp = 100, Data_out =  33761
Time =            433500000, Counter = 701, amp = 52, Data_out =  32283
Time =            434500000, Counter = 906, amp = 70, Data_out =  31799
Time =            435500000, Counter = 87, amp = 127, Data_out =  32960
Time =            436500000, Counter = 292, amp = 148, Data_out =  34169
Time =            437500000, Counter = 497, amp = 100, Data_out =  33761
Time =            438500000, Counter = 702, amp = 52, Data_out =  32283
Time =            439500000, Counter = 907, amp = 70, Data_out =  31808
Time =            440500000, Counter = 88, amp = 127, Data_out =  32975
Time =            441500000, Counter = 293, amp = 148, Data_out =  34175
Time =            442500000, Counter = 498, amp = 100, Data_out =  33760
Time =            443500000, Counter = 703, amp = 52, Data_out =  32282
Time =            444500000, Counter = 908, amp = 70, Data_out =  31808
Time =            445500000, Counter = 89, amp = 127, Data_out =  32975
Time =            446500000, Counter = 294, amp = 148, Data_out =  34181
Time =            447500000, Counter = 499, amp = 100, Data_out =  33758
