Time =            375500000, Counter = 75, amp = 124, Data_out =  36230
Time =            376500000, Counter = 280, amp = 149, Data_out =  45858
Time =            377500000, Counter = 485, amp = 103, Data_out =  43504
Time =            378500000, Counter = 690, amp = 53, Data_out =  32386
Time =            379500000, Counter = 895, amp = 68, Data_out =  28030
Time =            380500000, Counter = 76, amp = 124, Data_out =  36554
Time =            381500000, Counter = 281, amp = 149, Data_out =  46170
Time =            382500000, Counter = 486, amp = 103, Data_out =  43620
Time =            383500000, Counter = 691, amp = 53, Data_out =  32378
Time =            384500000, Counter = 896, amp = 68, Data_out =  28042
Time =            385500000, Counter = 77, amp = 124, Data_out =  36557
Time =            386500000, Counter = 282, amp = 149, Data_out =  46215
Time =            387500000, Counter = 487, amp = 103, Data_out =  43626
Time =            388500000, Counter = 692, amp = 53, Data_out =  32378
Time =            389500000, Counter = 897, amp = 68, Data_out =  28042
Time =            390500000, Counter = 78, amp = 124, Data_out =  36578
Time =            391500000, Counter = 283, amp = 149, Data_out =  46224
Time =            392500000, Counter = 488, amp = 103, Data_out =  43626
Time =            393500000, Counter = 693, amp = 53, Data_out =  32378
Time =            394500000, Counter = 898, amp = 68, Data_out =  28048
Time =            395500000, Counter = 79, amp = 124, Data_out =  36596
Time =            396500000, Counter = 284, amp = 149, Data_out =  46224
Time =            397500000, Counter = 489, amp = 103, Data_out =  43626
Time =            398500000, Counter = 694, amp = 53, Data_out =  32378
Time =            399500000, Counter = 899, amp = 68, Data_out =  28048
Time =            400500000, Counter = 80, amp = 124, Data_out =  36596
Time =            401500000, Counter = 285, amp = 149, Data_out =  46224
Time =            402500000, Counter = 490, amp = 100, Data_out =  43626
Time =            403500000, Counter = 695, amp = 52, Data_out =  32360
Time =            404500000, Counter = 900, amp = 70, Data_out =  28036
Time =            405500000, Counter = 81, amp = 124, Data_out =  36606
Time =            406500000, Counter = 286, amp = 149, Data_out =  46228
Time =            407500000, Counter = 491, amp = 100, Data_out =  43617
Time =            408500000, Counter = 696, amp = 52, Data_out =  32336
Time =            409500000, Counter = 901, amp = 70, Data_out =  28035
Time =            410500000, Counter = 82, amp = 124, Data_out =  36620
Time =            411500000, Counter = 287, amp = 149, Data_out =  46222
Time =            412500000, Counter = 492, amp = 100, Data_out =  43570
Time =            413500000, Counter = 697, amp = 52, Data_out =  32322
Time =            414500000, Counter = 902, amp = 70, Data_out =  28064
Time =            415500000, Counter = 83, amp = 127, Data_out =  36622
Time =            416500000, Counter = 288, amp = 148, Data_out =  46102
Time =            417500000, Counter = 493, amp = 100, Data_out =  43206
Time =            418500000, Counter = 698, amp = 52, Data_out =  31988
Time =            419500000, Counter = 903, amp = 70, Data_out =  28032
Time =            420500000, Counter = 84, amp = 127, Data_out =  36797
Time =            421500000, Counter = 289, amp = 148, Data_out =  46212
Time =            422500000, Counter = 494, amp = 100, Data_out =  43196
