Time =            473500000, Counter = 317, amp = 146, Data_out =  56186
Time =            474500000, Counter = 322, amp = 145, Data_out =  56232
Time =            475500000, Counter = 327, amp = 145, Data_out =  56233
Time =            476500000, Counter = 332, amp = 144, Data_out =  56233
Time =            477500000, Counter = 337, amp = 142, Data_out =  56232
Time =            478500000, Counter = 342, amp = 140, Data_out =  56174
Time =            479500000, Counter = 347, amp = 138, Data_out =  56057
Time =            480500000, Counter = 352, amp = 138, Data_out =  55915
Time =            481500000, Counter = 357, amp = 136, Data_out =  55865
Time =            482500000, Counter = 362, amp = 136, Data_out =  55788
Time =            483500000, Counter = 367, amp = 134, Data_out =  55664
Time =            484500000, Counter = 372, amp = 134, Data_out =  55464
Time =            485500000, Counter = 377, amp = 132, Data_out =  55276
Time =            486500000, Counter = 382, amp = 132, Data_out =  55087
Time =            487500000, Counter = 387, amp = 129, Data_out =  54888
Time =            488500000, Counter = 392, amp = 129, Data_out =  54675
Time =            489500000, Counter = 397, amp = 127, Data_out =  54449
Time =            490500000, Counter = 402, amp = 127, Data_out =  54267
Time =            491500000, Counter = 407, amp = 124, Data_out =  53960
Time =            492500000, Counter = 412, amp = 124, Data_out =  53514
Time =            493500000, Counter = 417, amp = 124, Data_out =  52871
Time =            494500000, Counter = 422, amp = 121, Data_out =  52331
Time =            495500000, Counter = 427, amp = 121, Data_out =  51851
Time =            496500000, Counter = 432, amp = 118, Data_out =  51518
Time =            497500000, Counter = 437, amp = 118, Data_out =  51104
Time =            498500000, Counter = 442, amp = 115, Data_out =  50744
Time =            499500000, Counter = 447, amp = 115, Data_out =  50338
Time =            500500000, Counter = 452, amp = 112, Data_out =  49956
Time =            501500000, Counter = 457, amp = 112, Data_out =  49519
Time =            502500000, Counter = 462, amp = 109, Data_out =  49026
Time =            503500000, Counter = 467, amp = 109, Data_out =  48555
Time =            504500000, Counter = 472, amp = 106, Data_out =  48077
Time =            505500000, Counter = 477, amp = 106, Data_out =  47677
Time =            506500000, Counter = 482, amp = 103, Data_out =  47141
Time =            507500000, Counter = 487, amp = 103, Data_out =  46758
Time =            508500000, Counter = 492, amp = 100, Data_out =  46335
Time =            509500000, Counter = 497, amp = 100, Data_out =  45955
Time =            510500000, Counter = 502, amp = 97, Data_out =  45379
Time =            511500000, Counter = 507, amp = 97, Data_out =  44862
Time =            512500000, Counter = 512, amp = 93, Data_out =  44264
Time =            513500000, Counter = 517, amp = 93, Data_out =  43739
Time =            514500000, Counter = 522, amp = 90, Data_out =  43188
Time =            515500000, Counter = 527, amp = 90, Data_out =  42633
Time =            516500000, Counter = 532, amp = 87, Data_out =  42069
Time =            517500000, Counter = 537, amp = 87, Data_out =  41502
Time =            518500000, Counter = 542, amp = 84, Data_out =  40954
Time =            519500000, Counter = 547, amp = 84, Data_out =  40384
Time =            520500000, Counter = 552, amp = 81, Data_out =  39832
Time =            521500000, Counter = 557, amp = 78, Data_out =  39254
Time =            522500000, Counter = 562, amp = 78, Data_out =  38675
Time =            523500000, Counter = 567, amp = 76, Data_out =  38122
Time =            524500000, Counter = 572, amp = 76, Data_out =  37552
Time =            525500000, Counter = 577, amp = 73, Data_out =  37002
Time =            526500000, Counter = 582, amp = 73, Data_out =  36371
Time =            527500000, Counter = 587, amp = 70, Data_out =  35701
Time =            528500000, Counter = 592, amp = 70, Data_out =  35034
Time =            529500000, Counter = 597, amp = 68, Data_out =  34431
Time =            530500000, Counter = 602, amp = 68, Data_out =  33867
Time =            531500000, Counter = 607, amp = 66, Data_out =  33266
Time =            532500000, Counter = 612, amp = 66, Data_out =  32745
Time =            533500000, Counter = 617, amp = 63, Data_out =  32147
Time =            534500000, Counter = 622, amp = 63, Data_out =  31621
Time =            535500000, Counter = 627, amp = 61, Data_out =  30890
Time =            536500000, Counter = 632, amp = 61, Data_out =  30191
Time =            537500000, Counter = 637, amp = 59, Data_out =  29501
Time =            538500000, Counter = 642, amp = 59, Data_out =  29084
Time =            539500000, Counter = 647, amp = 58, Data_out =  28607
Time =            540500000, Counter = 652, amp = 58, Data_out =  28143
Time =            541500000, Counter = 657, amp = 58, Data_out =  27564
Time =            542500000, Counter = 662, amp = 58, Data_out =  27010
Time =            543500000, Counter = 667, amp = 56, Data_out =  26506
Time =            544500000, Counter = 672, amp = 56, Data_out =  26077
Time =            545500000, Counter = 677, amp = 55, Data_out =  25698
Time =            546500000, Counter = 682, amp = 55, Data_out =  25289
Time =            547500000, Counter = 687, amp = 53, Data_out =  24883
Time =            548500000, Counter = 692, amp = 53, Data_out =  24374
Time =            549500000, Counter = 697, amp = 52, Data_out =  23911
Time =            550500000, Counter = 702, amp = 52, Data_out =  23476
Time =            551500000, Counter = 707, amp = 51, Data_out =  23130
Time =            552500000, Counter = 712, amp = 51, Data_out =  22755
Time =            553500000, Counter = 717, amp = 51, Data_out =  22423
Time =            554500000, Counter = 722, amp = 51, Data_out =  22153
Time =            555500000, Counter = 727, amp = 50, Data_out =  21993
Time =            556500000, Counter = 732, amp = 50, Data_out =  21883
Time =            557500000, Counter = 737, amp = 50, Data_out =  21722
Time =            558500000, Counter = 742, amp = 50, Data_out =  21451
Time =            559500000, Counter = 747, amp = 50, Data_out =  21152
Time =            560500000, Counter = 752, amp = 50, Data_out =  20915
Time =            561500000, Counter = 757, amp = 50, Data_out =  20675
Time =            562500000, Counter = 762, amp = 50, Data_out =  20396
Time =            563500000, Counter = 767, amp = 50, Data_out =  20112
Time =            564500000, Counter = 772, amp = 50, Data_out =  19871
Time =            565500000, Counter = 777, amp = 51, Data_out =  19684
Time =            566500000, Counter = 782, amp = 51, Data_out =  19518
